"TOA5","Snow Weather","CR1000","86158","CR1000.Std.31.03","CPU:SnowCollege.CR1","60318","FifteenMin"
"TIMESTAMP","RECORD","AirTF_Avg","RH_Avg","WindGust","AveWindSp","WindDir","WindDir_SD","BP_inHg","SlrkW","HeatedPrecip_Tot","HeatedRunTot","Rain_Tot","RainRunTot"
"TS","RN","Deg F","%","mph","mph","degrees","Deg","inHg","kW/m^2","inch","inch","inch","inch"
"","","Avg","Avg","Max","WVc","WVc","WVc","Smp","Smp","Tot","Smp","Tot","Smp"
"2026-06-17 07:00:00",246994,53.74203,42.88757,1.754,0.1919217,293.0045,37.95891,29.99,0.13,0,0,0,0
"2026-06-17 07:15:00",246995,55.75022,40.61292,2.192,0.6047465,30.77803,29.56618,30,0.168,0,0,0,0
"2026-06-17 07:30:00",246996,57.64951,37.12502,2.85,0.7087455,163.5752,53.86681,29.99,0.208,0,0,0,0
"2026-06-17 07:45:00",246997,60.05326,37.99749,2.85,0.9620417,267.1176,32.41548,29.99,0.249,0,0,0,0
"2026-06-17 08:00:00",246998,61.13694,38.50754,2.63,0.4763939,271.0374,33.33684,30,0.291,0,0,0,0
"2026-06-17 08:15:00",246999,61.97713,36.21394,3.726,1.541706,245.1815,36.23853,29.99,0.337,0,0,0,0
"2026-06-17 08:30:00",247000,63.89019,34.15393,3.069,0.9705663,303.2954,18.75402,29.99,0.379,0,0,0,0
"2026-06-17 08:45:00",247001,65.07764,34.01385,2.63,0.7791326,31.58369,41.04206,29.99,0.424,0,0,0,0
"2026-06-17 09:00:00",247002,66.855,31.65379,2.192,0.4320667,80.42673,44.21473,29.99,0.468,0,0,0,0
"2026-06-17 09:15:00",247003,70.21291,26.59836,2.63,0.6997341,277.2542,38.99028,29.99,0.509,0,0,0,0
"2026-06-17 09:30:00",247004,72.8493,23.89592,4.603,1.143004,289.3149,25.15038,29.99,0.55,0,0,0,0
"2026-06-17 09:45:00",247005,75.22031,20.83947,4.165,1.297418,262.3798,24.14686,29.98,0.594,0,0,0,0
"2026-06-17 10:00:00",247006,76.84309,18.82055,5.261,1.724614,221.3949,29.63541,29.98,0.633,0,0,0,0
"2026-06-17 10:15:00",247007,79.09352,18.70078,4.165,1.270871,230.4215,40.52425,29.98,0.67,0,0,0,0
"2026-06-17 10:30:00",247008,80.35786,18.60917,5.918,1.734356,206.0437,31.41872,29.97,0.701,0,0,0,0
"2026-06-17 10:45:00",247009,83.17912,17.07931,8.33,3.353029,209.2295,29.4429,29.97,0.736,0,0,0,0
"2026-06-17 11:00:00",247010,84.90926,14.39339,8.55,3.342796,199.9586,32.10462,29.97,0.767,0,0,0,0
"2026-06-17 11:15:00",247011,85.66755,13.80148,7.234,2.237298,204.0039,55.1949,29.97,0.802,0,0,0,0
"2026-06-17 11:30:00",247012,86.35059,13.50775,7.453,3.343041,293.0436,42.72127,29.97,0.826,0,0,0,0
"2026-06-17 11:45:00",247013,87.15656,13.32066,8.55,2.921203,284.2771,45.58845,29.97,0.855,0,0,0,0
"2026-06-17 12:00:00",247014,87.69016,13.11628,15.56,4.348199,212.6914,37.36206,29.96,0.874,0,0,0,0
"2026-06-17 12:15:00",247015,89.62937,12.71591,16.66,7.046305,287.8641,29.29925,29.96,0.88,0,0,0,0
"2026-06-17 12:30:00",247016,89.13557,12.59841,18.63,8.358592,270.396,25.73372,29.95,0.9,0,0,0,0
"2026-06-17 12:45:00",247017,90.16149,11.96597,19.07,7.897048,285.6327,29.70403,29.96,0.925,0,0,0,0
"2026-06-17 13:00:00",247018,90.5348,12.21049,22.14,8.487183,275.4246,34.58874,29.95,0.923,0,0,0,0
"2026-06-17 13:15:00",247019,90.73937,12.10128,19.95,9.744655,277.0155,24.64599,29.95,0.942,0,0,0,0
"2026-06-17 13:30:00",247020,90.56754,12.32936,22.8,11.03648,272.6755,27.56223,29.95,0.942,0,0,0,0
"2026-06-17 13:45:00",247021,90.77673,12.26445,25.65,12.96787,277.8719,21.59875,29.94,0.936,0,0,0,0
"2026-06-17 14:00:00",247022,91.15059,12.21653,26.3,10.39203,285.2205,29.1383,29.94,0.932,0,0,0,0
"2026-06-17 14:15:00",247023,91.33167,12.28815,31.13,12.42865,280.1718,22.68374,29.94,0.934,0,0,0,0
"2026-06-17 14:30:00",247024,91.95915,12.0643,24.99,12.27884,287.8351,22.32325,29.94,0.907,0,0,0,0
"2026-06-17 14:45:00",247025,91.67496,12.19426,25.43,10.64411,281.4329,27.30081,29.94,0.896,0,0,0,0
"2026-06-17 15:00:00",247026,91.88783,12.0951,26.96,11.29587,277.2603,20.98363,29.94,0.887,0,0,0,0
"2026-06-17 15:15:00",247027,91.63705,12.2323,26.74,8.999616,258.9683,30.57261,29.93,0.865,0,0,0,0
"2026-06-17 15:30:00",247028,91.77141,12.19253,21.7,9.491848,255.2082,30.91903,29.93,0.845,0,0,0,0
"2026-06-17 15:45:00",247029,91.8161,12.356,26.52,10.35939,271.2182,24.54228,29.93,0.818,0,0,0,0
"2026-06-17 16:00:00",247030,93.25553,11.67473,20.82,10.08905,298.6236,23.6978,29.93,0.793,0,0,0,0
"2026-06-17 16:15:00",247031,92.95708,12.08559,22.58,7.614524,281.2369,25.09219,29.92,0.748,0,0,0,0
"2026-06-17 16:30:00",247032,92.80928,12.11645,21.7,7.718767,294.1896,34.60533,29.92,0.717,0,0,0,0
"2026-06-17 16:45:00",247033,93.42208,10.97527,23.45,11.37404,297.7992,22.33547,29.91,0.629,0,0,0,0
"2026-06-17 17:00:00",247034,92.73532,11.37751,25.21,12.87409,299.0019,19.90472,29.91,0.63,0,0,0,0
"2026-06-17 17:15:00",247035,93.04972,11.52136,22.14,7.268426,304.049,27.15167,29.9,0.584,0,0,0,0
"2026-06-17 17:30:00",247036,92.09426,11.42658,33.98,13.1498,284.7674,22.99924,29.91,0.545,0,0,0,0
"2026-06-17 17:45:00",247037,92.40726,11.18198,22.36,9.87471,295.3103,22.30086,29.9,0.506,0,0,0,0
"2026-06-17 18:00:00",247038,92.22591,11.55306,19.07,7.474225,287.7263,25.8053,29.9,0.465,0,0,0,0
"2026-06-17 18:15:00",247039,91.93138,11.36839,17.97,7.329073,312.7755,24.70147,29.89,0.419,0,0,0,0
"2026-06-17 18:30:00",247040,91.5214,11.37744,22.8,8.750218,311.9086,23.3651,29.89,0.373,0,0,0,0
"2026-06-17 18:45:00",247041,91.24277,11.27111,22.58,9.032985,292.8586,21.76174,29.89,0.317,0,0,0,0
"2026-06-17 19:00:00",247042,91.00015,12.12498,22.36,7.182696,307.0013,27.30074,29.89,0.269,0,0,0,0
